tradeId,ts,px,sz,side,datetime_utc
2779363682,1783784230849,64386.6,8.52,buy,2026-07-11 15:37:10.849000+00:00
2779363667,1783784230849,64385.7,0.08,buy,2026-07-11 15:37:10.849000+00:00
2779363668,1783784230849,64385.7,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363669,1783784230849,64385.7,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363670,1783784230849,64385.9,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363671,1783784230849,64386.0,0.03,buy,2026-07-11 15:37:10.849000+00:00
2779363672,1783784230849,64386.0,1.24,buy,2026-07-11 15:37:10.849000+00:00
2779363673,1783784230849,64386.0,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363674,1783784230849,64386.0,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363675,1783784230849,64386.4,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363676,1783784230849,64386.4,6.21,buy,2026-07-11 15:37:10.849000+00:00
2779363677,1783784230849,64386.5,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363678,1783784230849,64386.5,6.23,buy,2026-07-11 15:37:10.849000+00:00
2779363679,1783784230849,64386.5,0.65,buy,2026-07-11 15:37:10.849000+00:00
2779363680,1783784230849,64386.6,0.22,buy,2026-07-11 15:37:10.849000+00:00
2779363681,1783784230849,64386.6,1.25,buy,2026-07-11 15:37:10.849000+00:00
2779363666,1783784230849,64385.7,0.04,buy,2026-07-11 15:37:10.849000+00:00
2779363651,1783784230849,64385.0,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363652,1783784230849,64385.3,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363653,1783784230849,64385.5,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363654,1783784230849,64385.6,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363655,1783784230849,64385.6,1.51,buy,2026-07-11 15:37:10.849000+00:00
2779363656,1783784230849,64385.7,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363657,1783784230849,64385.7,0.04,buy,2026-07-11 15:37:10.849000+00:00
2779363658,1783784230849,64385.7,0.09,buy,2026-07-11 15:37:10.849000+00:00
2779363659,1783784230849,64385.7,0.04,buy,2026-07-11 15:37:10.849000+00:00
2779363660,1783784230849,64385.7,0.08,buy,2026-07-11 15:37:10.849000+00:00
2779363661,1783784230849,64385.7,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363662,1783784230849,64385.7,0.04,buy,2026-07-11 15:37:10.849000+00:00
2779363663,1783784230849,64385.7,0.09,buy,2026-07-11 15:37:10.849000+00:00
2779363664,1783784230849,64385.7,0.68,buy,2026-07-11 15:37:10.849000+00:00
2779363665,1783784230849,64385.7,0.01,buy,2026-07-11 15:37:10.849000+00:00
2779363649,1783784230849,64384.9,0.4,buy,2026-07-11 15:37:10.849000+00:00
