ts,open_interest,oi_volume,datetime_utc
1783608300000,1469240911.7552,23019288.8534,2026-07-09 14:45:00+00:00
1783608600000,1471410137.218,15344612.4022,2026-07-09 14:50:00+00:00
1783608900000,1472806770.4511,20250753.7689,2026-07-09 14:55:00+00:00
1783609200000,1472274303.907,13867685.2287,2026-07-09 15:00:00+00:00
1783609500000,1469092919.5568,20900997.3987,2026-07-09 15:05:00+00:00
1783609800000,1466493128.5055,30546070.1739,2026-07-09 15:10:00+00:00
1783610100000,1466410762.0603,15149992.6573,2026-07-09 15:15:00+00:00
1783610400000,1466818474.113,13478865.3014,2026-07-09 15:20:00+00:00
1783610700000,1468714794.4779,26398606.6853,2026-07-09 15:25:00+00:00
1783611000000,1468861298.663,18808487.6645,2026-07-09 15:30:00+00:00
1783611300000,1469456943.7029,9033450.677,2026-07-09 15:35:00+00:00
1783611600000,1466953891.1694,21196655.5656,2026-07-09 15:40:00+00:00
1783611900000,1470142012.2272,12232135.2549,2026-07-09 15:45:00+00:00
1783612200000,1471491558.9268,8810320.1179,2026-07-09 15:50:00+00:00
1783612500000,1470334837.1387,6796041.9204,2026-07-09 15:55:00+00:00
1783612800000,1470334837.1387,16270871.5792,2026-07-09 16:00:00+00:00
1783613100000,1471071396.6615,16076180.9643,2026-07-09 16:05:00+00:00
1783613400000,1471934677.2425,9769925.8873,2026-07-09 16:10:00+00:00
1783613700000,1471966137.073,11741436.8377,2026-07-09 16:15:00+00:00
1783614000000,1472550594.1155,25387585.0561,2026-07-09 16:20:00+00:00
1783614300000,1474549655.8264,14280868.9714,2026-07-09 16:25:00+00:00
1783614600000,1473368085.7909,48864496.893,2026-07-09 16:30:00+00:00
1783614900000,1473107320.3122,12614690.6979,2026-07-09 16:35:00+00:00
1783615200000,1471241585.9018,17036384.8274,2026-07-09 16:40:00+00:00
1783615500000,1470901797.6141,12738237.794,2026-07-09 16:45:00+00:00
