ts,funding_rate,realized_rate,datetime_utc
1780905600000,-0.0001873552965382,-0.0001873552965382,2026-06-08 08:00:00+00:00
1780934400000,-8.8760975112e-06,-8.8760975112e-06,2026-06-08 16:00:00+00:00
1780963200000,-8.69241579033e-05,-8.69241579033e-05,2026-06-09 00:00:00+00:00
1780992000000,-1.89039937979e-05,-1.89039937979e-05,2026-06-09 08:00:00+00:00
1781020800000,3.03865382714e-05,3.03865382714e-05,2026-06-09 16:00:00+00:00
1781049600000,7.17267686131e-05,7.17267686131e-05,2026-06-10 00:00:00+00:00
1781078400000,1.38261953006e-05,1.38261953006e-05,2026-06-10 08:00:00+00:00
1781107200000,3.24670953305e-05,3.24670953305e-05,2026-06-10 16:00:00+00:00
1781136000000,-5.90174656933e-05,-5.90174656933e-05,2026-06-11 00:00:00+00:00
1781164800000,4.62258892781e-05,4.62258892781e-05,2026-06-11 08:00:00+00:00
1781193600000,-3.3124734566e-06,-3.3124734566e-06,2026-06-11 16:00:00+00:00
1781222400000,-9.68114599367e-05,-9.68114599367e-05,2026-06-12 00:00:00+00:00
1781251200000,-0.0001017741646027,-0.0001017741646027,2026-06-12 08:00:00+00:00
1781280000000,9.5622289416e-06,9.5622289416e-06,2026-06-12 16:00:00+00:00
1781308800000,-6.58435402433e-05,-6.58435402433e-05,2026-06-13 00:00:00+00:00
1781337600000,4.50224401935e-05,4.50224401935e-05,2026-06-13 08:00:00+00:00
1781366400000,-4.290997293e-05,-4.290997293e-05,2026-06-13 16:00:00+00:00
1781395200000,-0.0001118202062351,-0.0001118202062351,2026-06-14 00:00:00+00:00
1781424000000,-3.54669567915e-05,-3.54669567915e-05,2026-06-14 08:00:00+00:00
1781452800000,-3.20449128752e-05,-3.20449128752e-05,2026-06-14 16:00:00+00:00
1781481600000,-8.16117953241e-05,-8.16117953241e-05,2026-06-15 00:00:00+00:00
1781510400000,-2.80617027448e-05,-2.80617027448e-05,2026-06-15 08:00:00+00:00
1781539200000,-8.96474150698e-05,-8.96474150698e-05,2026-06-15 16:00:00+00:00
1781568000000,3.1540261669e-05,3.1540261669e-05,2026-06-16 00:00:00+00:00
1781596800000,-3.91021578092e-05,-3.91021578092e-05,2026-06-16 08:00:00+00:00
1781625600000,1.46462080172e-05,1.46462080172e-05,2026-06-16 16:00:00+00:00
1781654400000,8.6311818398e-06,8.6311818398e-06,2026-06-17 00:00:00+00:00
1781683200000,-7.9779243916e-06,-7.9779243916e-06,2026-06-17 08:00:00+00:00
1781712000000,-4.2120277869e-05,-4.2120277869e-05,2026-06-17 16:00:00+00:00
1781740800000,2.9590731168e-06,2.9590731168e-06,2026-06-18 00:00:00+00:00
1781769600000,-3.87989333161e-05,-3.87989333161e-05,2026-06-18 08:00:00+00:00
1781798400000,3.0407453699e-05,3.0407453699e-05,2026-06-18 16:00:00+00:00
1781827200000,0.0001,0.0001,2026-06-19 00:00:00+00:00
1781856000000,0.0001,0.0001,2026-06-19 08:00:00+00:00
1781884800000,-6.15097749082e-05,-6.15097749082e-05,2026-06-19 16:00:00+00:00
1781913600000,-6.0190618069e-06,-6.0190618069e-06,2026-06-20 00:00:00+00:00
1781942400000,-1.18951848813e-05,-1.18951848813e-05,2026-06-20 08:00:00+00:00
1781971200000,2.16896145785e-05,2.16896145785e-05,2026-06-20 16:00:00+00:00
1782000000000,4.17823050265e-05,4.17823050265e-05,2026-06-21 00:00:00+00:00
1782028800000,9.2962287392e-06,9.2962287392e-06,2026-06-21 08:00:00+00:00
1782057600000,3.57262532504e-05,3.57262532504e-05,2026-06-21 16:00:00+00:00
1782086400000,-5.01585581876e-05,-5.01585581876e-05,2026-06-22 00:00:00+00:00
1782115200000,3.8924472611e-05,3.8924472611e-05,2026-06-22 08:00:00+00:00
1782144000000,-1.29778724397e-05,-1.29778724397e-05,2026-06-22 16:00:00+00:00
1782172800000,3.04143577985e-05,3.04143577985e-05,2026-06-23 00:00:00+00:00
1782201600000,-1.42339195247e-05,-1.42339195247e-05,2026-06-23 08:00:00+00:00
1782230400000,-0.0001180284117834,-0.0001180284117834,2026-06-23 16:00:00+00:00
1782259200000,-9.27134940708e-05,-9.27134940708e-05,2026-06-24 00:00:00+00:00
1782288000000,-8.74494348409e-05,-8.74494348409e-05,2026-06-24 08:00:00+00:00
1782316800000,-9.9009294354e-06,-9.9009294354e-06,2026-06-24 16:00:00+00:00
1782345600000,-9.7464495e-05,-9.7464495e-05,2026-06-25 00:00:00+00:00
1782374400000,-5.4677598912e-05,-5.4677598912e-05,2026-06-25 08:00:00+00:00
1782403200000,-3.57031347886e-05,-3.57031347886e-05,2026-06-25 16:00:00+00:00
1782432000000,-1.2396275047e-05,-1.2396275047e-05,2026-06-26 00:00:00+00:00
1782460800000,8.40402666632e-05,8.40402666632e-05,2026-06-26 08:00:00+00:00
1782489600000,7.83456302872e-05,7.83456302872e-05,2026-06-26 16:00:00+00:00
1782518400000,0.0001,0.0001,2026-06-27 00:00:00+00:00
1782547200000,7.11020586954e-05,7.11020586954e-05,2026-06-27 08:00:00+00:00
1782576000000,3.36150229854e-05,3.36150229854e-05,2026-06-27 16:00:00+00:00
1782604800000,0.0001,0.0001,2026-06-28 00:00:00+00:00
1782633600000,7.82065129036e-05,7.82065129036e-05,2026-06-28 08:00:00+00:00
1782662400000,2.71357000113e-05,2.71357000113e-05,2026-06-28 16:00:00+00:00
1782691200000,4.516223718e-07,4.516223718e-07,2026-06-29 00:00:00+00:00
1782720000000,5.73241962428e-05,5.73241962428e-05,2026-06-29 08:00:00+00:00
1782748800000,8.38618609042e-05,8.38618609042e-05,2026-06-29 16:00:00+00:00
1782777600000,0.0001,0.0001,2026-06-30 00:00:00+00:00
1782806400000,9.55007131301e-05,9.55007131301e-05,2026-06-30 08:00:00+00:00
1782835200000,6.83323541449e-05,6.83323541449e-05,2026-06-30 16:00:00+00:00
1782864000000,0.0001,0.0001,2026-07-01 00:00:00+00:00
1782892800000,5.46829089141e-05,5.46829089141e-05,2026-07-01 08:00:00+00:00
1782921600000,3.17611151984e-05,3.17611151984e-05,2026-07-01 16:00:00+00:00
1782950400000,1.2939408287e-05,1.2939408287e-05,2026-07-02 00:00:00+00:00
1782979200000,-1.7739160409e-06,-1.7739160409e-06,2026-07-02 08:00:00+00:00
1783008000000,8.26444755759e-05,8.26444755759e-05,2026-07-02 16:00:00+00:00
1783036800000,4.33063071423e-05,4.33063071423e-05,2026-07-03 00:00:00+00:00
1783065600000,1.8158246815e-06,1.8158246815e-06,2026-07-03 08:00:00+00:00
1783094400000,-5.5843438794e-06,-5.5843438794e-06,2026-07-03 16:00:00+00:00
1783123200000,0.0001,0.0001,2026-07-04 00:00:00+00:00
1783152000000,0.0001,0.0001,2026-07-04 08:00:00+00:00
1783180800000,4.17135623585e-05,4.17135623585e-05,2026-07-04 16:00:00+00:00
1783209600000,5.39580287203e-05,5.39580287203e-05,2026-07-05 00:00:00+00:00
1783238400000,9.38984297786e-05,9.38984297786e-05,2026-07-05 08:00:00+00:00
1783267200000,-6.1859640522e-06,-6.1859640522e-06,2026-07-05 16:00:00+00:00
1783296000000,8.01515460382e-05,8.01515460382e-05,2026-07-06 00:00:00+00:00
1783324800000,9.79129377572e-05,9.79129377572e-05,2026-07-06 08:00:00+00:00
1783353600000,9.2055257644e-06,9.2055257644e-06,2026-07-06 16:00:00+00:00
1783382400000,6.15475511772e-05,6.15475511772e-05,2026-07-07 00:00:00+00:00
1783411200000,-6.741639894e-07,-6.741639894e-07,2026-07-07 08:00:00+00:00
1783440000000,-2.24522675995e-05,-2.24522675995e-05,2026-07-07 16:00:00+00:00
1783468800000,-2.57094992987e-05,-2.57094992987e-05,2026-07-08 00:00:00+00:00
1783497600000,0.0001,0.0001,2026-07-08 08:00:00+00:00
1783526400000,7.80603174802e-05,7.80603174802e-05,2026-07-08 16:00:00+00:00
