ts,open_interest,oi_volume,datetime_utc
1783611600000,274284149.8333,2476437.3139,2026-07-09 15:40:00+00:00
1783611900000,274409396.4605,2969180.6259,2026-07-09 15:45:00+00:00
1783612200000,274727371.7386,1435259.531,2026-07-09 15:50:00+00:00
1783612500000,275047823.9595,1144489.0526,2026-07-09 15:55:00+00:00
1783612800000,275047823.9595,3557895.9989,2026-07-09 16:00:00+00:00
1783613100000,276707359.8924,4696629.4869,2026-07-09 16:05:00+00:00
1783613400000,276726614.5255,2087801.1095,2026-07-09 16:10:00+00:00
1783613700000,276467740.4163,2564294.1856,2026-07-09 16:15:00+00:00
1783614000000,276326226.3383,3265487.7421,2026-07-09 16:20:00+00:00
1783614300000,276374090.1469,1453334.1704,2026-07-09 16:25:00+00:00
1783614600000,276200090.4709,6046041.2019,2026-07-09 16:30:00+00:00
1783614900000,276194692.6179,1205620.9453,2026-07-09 16:35:00+00:00
1783615200000,276195173.2091,1454568.0066,2026-07-09 16:40:00+00:00
1783615500000,276642852.4417,1736013.114,2026-07-09 16:45:00+00:00
1783615800000,276589493.8189,896192.1879,2026-07-09 16:50:00+00:00
1783616100000,277062529.0242,1346818.854,2026-07-09 16:55:00+00:00
1783616400000,277193169.4028,723903.7922,2026-07-09 17:00:00+00:00
1783616700000,277506081.9675,1264670.4307,2026-07-09 17:05:00+00:00
1783617000000,277549492.4034,1307349.3181,2026-07-09 17:10:00+00:00
1783617300000,277638670.5692,840717.3936,2026-07-09 17:15:00+00:00
1783617600000,276961925.5872,2186551.9259,2026-07-09 17:20:00+00:00
1783617900000,281228286.0926,1319418.0118,2026-07-09 17:25:00+00:00
1783618200000,281416220.2589,579607.2717,2026-07-09 17:30:00+00:00
1783618500000,281297072.3656,626444.4057,2026-07-09 17:35:00+00:00
1783618800000,280717279.6578,3737601.8995,2026-07-09 17:40:00+00:00
1783619100000,280998236.6616,3281897.0837,2026-07-09 17:45:00+00:00
1783619400000,280657406.4576,1593241.8543,2026-07-09 17:50:00+00:00
1783619700000,280490292.9294,1333948.6349,2026-07-09 17:55:00+00:00
1783620000000,280312915.1715,1812067.7147,2026-07-09 18:00:00+00:00
1783620300000,280070338.2579,2358697.1631,2026-07-09 18:05:00+00:00
1783620600000,279093832.3865,4964003.5272,2026-07-09 18:10:00+00:00
1783620900000,279611740.7842,2128879.5891,2026-07-09 18:15:00+00:00
1783621200000,279674294.1167,1896003.3429,2026-07-09 18:20:00+00:00
1783621500000,279548601.5742,1788057.5894,2026-07-09 18:25:00+00:00
1783621800000,279273932.9127,2419707.0975,2026-07-09 18:30:00+00:00
1783622100000,279377791.1314,1142762.7662,2026-07-09 18:35:00+00:00
1783622400000,280022955.5045,2100548.4337,2026-07-09 18:40:00+00:00
