ts,open,high,low,close,volume
1783752120000,1800.01,1800.01,1799.68,1799.68,465.226
1783752180000,1799.68,1799.69,1799.51,1799.51,306.207
1783752240000,1799.51,1799.51,1799.1,1799.11,242.342
1783752300000,1799.1,1799.31,1798.78,1799.25,1156.236
1783752360000,1799.24,1799.82,1799.24,1799.82,294.751
1783752420000,1799.82,1800.0,1799.81,1799.91,439.569
1783752480000,1799.9,1799.91,1799.48,1799.55,405.459
1783752540000,1799.54,1799.77,1798.8,1799.02,633.577
1783752600000,1799.02,1799.15,1798.56,1798.57,386.135
1783752660000,1798.56,1798.57,1798.13,1798.13,515.167
1783752720000,1798.14,1798.16,1797.69,1797.96,1054.407
1783752780000,1797.96,1798.06,1797.88,1797.98,262.306
1783752840000,1797.97,1799.15,1797.97,1798.94,656.02
1783752900000,1798.94,1798.95,1798.28,1798.28,437.36
1783752960000,1798.27,1798.77,1798.15,1798.52,188.573
1783753020000,1798.52,1798.74,1798.42,1798.58,254.098
1783753080000,1798.59,1798.59,1798.26,1798.26,204.368
1783753140000,1798.26,1798.27,1798.22,1798.22,88.32
1783753200000,1798.22,1798.23,1797.72,1797.73,677.609
1783753260000,1797.72,1798.84,1797.72,1798.35,304.811
1783753320000,1798.35,1798.87,1798.27,1798.87,338.602
1783753380000,1798.87,1798.87,1798.69,1798.7,301.674
1783753440000,1798.7,1798.7,1797.91,1797.91,201.093
1783753500000,1797.9,1797.91,1797.22,1797.22,483.789
1783753560000,1797.22,1797.47,1797.02,1797.46,646.45
1783753620000,1797.46,1797.67,1797.22,1797.23,488.531
1783753680000,1797.22,1797.54,1797.22,1797.47,412.933
1783753740000,1797.47,1797.77,1797.08,1797.77,1398.813
1783753800000,1797.77,1798.08,1797.6,1797.6,296.938
1783753860000,1797.61,1798.39,1797.6,1798.12,1335.204
1783753920000,1798.13,1798.52,1798.12,1798.27,154.397
1783753980000,1798.26,1799.32,1797.76,1799.1,1736.666
1783754040000,1799.09,1799.1,1799.0,1799.01,211.12
1783754100000,1799.01,1799.09,1799.0,1799.09,262.864
1783754160000,1799.09,1799.14,1798.71,1798.76,307.214
1783754220000,1798.76,1798.77,1798.42,1798.5,307.85
1783754280000,1798.5,1798.92,1798.49,1798.91,127.674
1783754340000,1798.92,1799.5,1798.92,1799.28,302.456
1783754400000,1799.28,1799.99,1799.27,1799.53,479.351
1783754460000,1799.53,1799.53,1799.01,1799.01,179.695
1783754520000,1799.02,1799.28,1798.96,1799.27,241.727
1783754580000,1799.27,1799.63,1799.27,1799.46,530.998
1783754640000,1799.46,1799.55,1799.29,1799.55,358.183
1783754700000,1799.55,1799.94,1799.54,1799.94,289.041
1783754760000,1799.94,1800.64,1799.93,1800.05,807.712
1783754820000,1800.04,1800.66,1799.7,1800.44,1382.779
1783754880000,1800.45,1801.0,1800.17,1801.0,356.916
1783754940000,1801.0,1801.0,1799.9,1799.9,814.13
1783755000000,1799.91,1800.72,1799.9,1800.72,675.377
1783755060000,1800.72,1800.89,1800.71,1800.88,371.672
1783755120000,1800.88,1800.89,1800.88,1800.89,328.759
1783755180000,1800.88,1800.89,1800.2,1800.33,349.294
1783755240000,1800.33,1800.54,1799.0,1799.0,403.57
1783755300000,1799.01,1799.29,1798.93,1798.93,764.793
1783755360000,1798.93,1799.41,1798.93,1799.28,659.601
1783755420000,1799.28,1799.28,1798.78,1799.17,704.38
1783755480000,1799.17,1799.82,1799.09,1799.81,266.065
1783755540000,1799.81,1799.92,1799.81,1799.91,106.152
1783755600000,1799.92,1800.42,1799.91,1800.42,421.469
1783755660000,1800.42,1800.54,1800.41,1800.52,465.24
1783755720000,1800.52,1800.71,1799.8,1799.8,799.69
1783755780000,1799.81,1799.81,1799.3,1799.31,161.615
1783755840000,1799.3,1799.99,1799.07,1799.49,1362.1
1783755900000,1799.49,1799.63,1799.31,1799.32,241.235
1783755960000,1799.32,1799.32,1799.23,1799.23,153.712
1783756020000,1799.23,1799.24,1798.9,1798.9,532.711
1783756080000,1798.9,1798.95,1798.56,1798.94,530.637
1783756140000,1798.95,1799.15,1798.92,1798.93,610.59
1783756200000,1798.92,1798.93,1798.9,1798.92,411.086
1783756260000,1798.92,1799.2,1798.9,1799.2,474.346
1783756320000,1799.2,1799.56,1799.19,1799.55,218.56
1783756380000,1799.56,1799.56,1799.32,1799.32,129.952
1783756440000,1799.32,1799.33,1798.71,1798.71,234.992
1783756500000,1798.71,1798.72,1798.6,1798.6,195.416
1783756560000,1798.6,1798.61,1798.45,1798.52,304.864
1783756620000,1798.52,1798.6,1798.52,1798.6,425.821
1783756680000,1798.6,1798.7,1798.59,1798.69,393.509
1783756740000,1798.7,1799.0,1798.61,1798.99,684.253
1783756800000,1798.99,1799.64,1798.99,1799.63,462.222
1783756860000,1799.64,1799.64,1799.31,1799.41,424.034
1783756920000,1799.42,1799.42,1798.97,1798.97,205.505
1783756980000,1798.98,1799.78,1798.97,1799.15,314.586
1783757040000,1799.15,1799.15,1798.75,1798.76,180.689
1783757100000,1798.76,1799.36,1798.75,1799.22,210.711
1783757160000,1799.22,1799.22,1798.58,1798.7,176.203
1783757220000,1798.71,1798.87,1798.7,1798.7,174.325
1783757280000,1798.7,1799.0,1798.46,1799.0,196.917
1783757340000,1798.99,1799.45,1798.99,1799.26,120.528
1783757400000,1799.26,1800.88,1799.25,1800.57,1906.348
1783757460000,1800.58,1800.97,1800.57,1800.96,601.617
1783757520000,1800.97,1800.97,1800.58,1800.68,328.215
1783757580000,1800.68,1801.05,1800.68,1801.04,791.608
1783757640000,1801.05,1801.05,1800.7,1800.7,848.178
1783757700000,1800.71,1801.0,1800.58,1800.75,689.379
1783757760000,1800.76,1800.76,1800.11,1800.11,475.903
1783757820000,1800.11,1800.11,1800.0,1800.0,302.655
1783757880000,1800.0,1800.01,1799.74,1800.01,365.799
1783757940000,1800.01,1800.26,1800.0,1800.26,259.245
1783758000000,1800.26,1800.95,1800.25,1800.77,182.661
1783758060000,1800.77,1800.77,1800.0,1800.01,236.203
1783758120000,1800.0,1800.3,1800.0,1800.29,171.655
1783758180000,1800.29,1800.4,1800.29,1800.4,137.538
1783758240000,1800.4,1800.69,1800.39,1800.69,333.345
1783758300000,1800.69,1800.89,1800.56,1800.75,646.82
1783758360000,1800.76,1800.76,1800.31,1800.31,266.231
1783758420000,1800.29,1800.3,1800.25,1800.26,71.67
1783758480000,1800.25,1800.8,1799.88,1800.79,994.727
1783758540000,1800.78,1800.79,1800.19,1800.2,279.74
1783758600000,1800.2,1800.49,1800.19,1800.49,144.735
1783758660000,1800.48,1800.49,1800.0,1800.01,264.659
1783758720000,1800.0,1800.28,1800.0,1800.27,232.812
1783758780000,1800.27,1800.3,1800.27,1800.3,226.138
1783758840000,1800.3,1800.38,1800.29,1800.38,104.484
1783758900000,1800.38,1801.0,1800.37,1800.99,389.5
