ts,open_interest,oi_volume,datetime_utc
1783611600000,2462643470.8673,36826126.9144,2026-07-09 15:40:00+00:00
1783611900000,2460123681.6649,17036874.2292,2026-07-09 15:45:00+00:00
1783612200000,2459872294.9795,6956243.9657,2026-07-09 15:50:00+00:00
1783612500000,2459353110.63,7249638.423,2026-07-09 15:55:00+00:00
1783612800000,2459353110.63,31341840.3123,2026-07-09 16:00:00+00:00
1783613100000,2461353358.2936,10702117.9123,2026-07-09 16:05:00+00:00
1783613400000,2463540211.0227,13109746.3154,2026-07-09 16:10:00+00:00
1783613700000,2464983309.2962,10374137.9213,2026-07-09 16:15:00+00:00
1783614000000,2464507628.8864,28304013.9155,2026-07-09 16:20:00+00:00
1783614300000,2463200870.316,22998046.791,2026-07-09 16:25:00+00:00
1783614600000,2454130501.7687,65190702.4314,2026-07-09 16:30:00+00:00
1783614900000,2453019800.9086,17198358.1541,2026-07-09 16:35:00+00:00
1783615200000,2450827527.0848,16249854.8994,2026-07-09 16:40:00+00:00
1783615500000,2449441600.9341,7437877.1761,2026-07-09 16:45:00+00:00
1783615800000,2448438906.5712,8363716.8464,2026-07-09 16:50:00+00:00
1783616100000,2450382101.5355,15720226.4566,2026-07-09 16:55:00+00:00
1783616400000,2450359827.7608,6141228.5805,2026-07-09 17:00:00+00:00
1783616700000,2449732907.121,10564996.4999,2026-07-09 17:05:00+00:00
1783617000000,2448271121.1764,6289338.9956,2026-07-09 17:10:00+00:00
1783617300000,2444427356.2033,17113913.4944,2026-07-09 17:15:00+00:00
1783617600000,2443448521.4338,9301387.2284,2026-07-09 17:20:00+00:00
1783617900000,2475525385.9829,11593103.4391,2026-07-09 17:25:00+00:00
1783618200000,2475243988.976,3811936.9463,2026-07-09 17:30:00+00:00
1783618500000,2475513840.1359,11009042.4164,2026-07-09 17:35:00+00:00
1783618800000,2472209271.3077,38775985.7445,2026-07-09 17:40:00+00:00
1783619100000,2475858251.8651,30329896.5977,2026-07-09 17:45:00+00:00
1783619400000,2478336614.9418,18878136.0048,2026-07-09 17:50:00+00:00
1783619700000,2481933952.1351,18544835.1714,2026-07-09 17:55:00+00:00
1783620000000,2490146383.3389,36969502.4214,2026-07-09 18:00:00+00:00
1783620300000,2493988831.7301,31287953.5548,2026-07-09 18:05:00+00:00
1783620600000,2462461887.6865,169063178.6279,2026-07-09 18:10:00+00:00
1783620900000,2462638039.1456,41172707.371,2026-07-09 18:15:00+00:00
1783621200000,2469504124.2142,31828042.8111,2026-07-09 18:20:00+00:00
1783621500000,2465156738.429,21880837.63,2026-07-09 18:25:00+00:00
1783621800000,2472692351.9422,32193702.1314,2026-07-09 18:30:00+00:00
1783622100000,2474813975.6574,16432137.1335,2026-07-09 18:35:00+00:00
1783622400000,2473512506.5766,14575043.2076,2026-07-09 18:40:00+00:00
1783622700000,2473308164.7389,19846913.6204,2026-07-09 18:45:00+00:00
1783623000000,2472321256.4037,11525380.1585,2026-07-09 18:50:00+00:00
1783623300000,2469187017.0516,18791300.5329,2026-07-09 18:55:00+00:00
1783623600000,2470167608.0904,8298691.1572,2026-07-09 19:00:00+00:00
1783623900000,2470248865.0748,12740466.3431,2026-07-09 19:05:00+00:00
1783624200000,2470043525.777,12544139.0362,2026-07-09 19:10:00+00:00
1783624500000,2469173974.8333,11074199.2285,2026-07-09 19:15:00+00:00
1783624800000,2468395771.6127,17057947.1949,2026-07-09 19:20:00+00:00
1783625100000,2470114282.8322,7454606.7923,2026-07-09 19:25:00+00:00
1783625400000,2469732469.7711,7206654.6089,2026-07-09 19:30:00+00:00
1783625700000,2469578691.1045,4991639.7192,2026-07-09 19:35:00+00:00
1783626000000,2470136955.0951,5488984.2817,2026-07-09 19:40:00+00:00
1783626300000,2471344072.8254,11903759.1701,2026-07-09 19:45:00+00:00
1783626600000,2472447484.552,12006448.1034,2026-07-09 19:50:00+00:00
1783626900000,2471786517.4421,5568055.3118,2026-07-09 19:55:00+00:00
1783627200000,2475530229.2065,12018336.4718,2026-07-09 20:00:00+00:00
1783627500000,2474007477.5202,9382741.4923,2026-07-09 20:05:00+00:00
1783627800000,2472872569.6456,5479395.431,2026-07-09 20:10:00+00:00
1783628100000,2472697423.3772,3666448.818,2026-07-09 20:15:00+00:00
1783628400000,2470414947.7816,8742684.1494,2026-07-09 20:20:00+00:00
1783628700000,2468585441.841,5909577.3465,2026-07-09 20:25:00+00:00
1783629000000,2468884259.2844,5710448.8402,2026-07-09 20:30:00+00:00
1783629300000,2468838634.3377,2193197.6447,2026-07-09 20:35:00+00:00
1783629600000,2468547001.3454,4938071.5167,2026-07-09 20:40:00+00:00
1783629900000,2468797947.4825,2880316.0154,2026-07-09 20:45:00+00:00
1783630200000,2468458805.4633,2385687.9449,2026-07-09 20:50:00+00:00
1783630500000,2467584751.7672,3158250.568,2026-07-09 20:55:00+00:00
1783630800000,2465305363.6633,8724757.5476,2026-07-09 21:00:00+00:00
1783631100000,2467699324.5206,15320972.4057,2026-07-09 21:05:00+00:00
1783631400000,2467895674.4759,4509032.1359,2026-07-09 21:10:00+00:00
1783631700000,2465635149.9319,7832597.9968,2026-07-09 21:15:00+00:00
1783632000000,2465795381.254,1960271.5691,2026-07-09 21:20:00+00:00
1783632300000,2465972513.9889,2327715.4318,2026-07-09 21:25:00+00:00
1783632600000,2467414687.9821,6902521.7006,2026-07-09 21:30:00+00:00
1783632900000,2467096871.8679,4268520.5125,2026-07-09 21:35:00+00:00
1783633200000,2466591249.7422,2220900.7975,2026-07-09 21:40:00+00:00
1783633500000,2465517775.7815,6031079.9763,2026-07-09 21:45:00+00:00
1783633800000,2465216850.8238,4677936.6249,2026-07-09 21:50:00+00:00
1783634100000,2465617944.0452,6248339.9263,2026-07-09 21:55:00+00:00
1783634400000,2465279448.8544,3174275.8541,2026-07-09 22:00:00+00:00
1783634700000,2466741108.2355,11154246.56,2026-07-09 22:05:00+00:00
1783635000000,2467528438.9092,4883829.5717,2026-07-09 22:10:00+00:00
1783635300000,2467120041.2838,4248746.9387,2026-07-09 22:15:00+00:00
1783635600000,2469778263.3329,15145642.5252,2026-07-09 22:20:00+00:00
1783635900000,2471615090.3485,6398310.9222,2026-07-09 22:25:00+00:00
1783636200000,2471446544.0192,3801626.0463,2026-07-09 22:30:00+00:00
1783636500000,2470974103.7149,7011665.1059,2026-07-09 22:35:00+00:00
1783636800000,2470456025.5494,4399226.6833,2026-07-09 22:40:00+00:00
1783637100000,2475090535.8868,23601503.006,2026-07-09 22:45:00+00:00
1783637400000,2475147039.1398,2902645.9324,2026-07-09 22:50:00+00:00
1783637700000,2488503384.776,36000533.1835,2026-07-09 22:55:00+00:00
1783638000000,2487346666.4192,6496534.213,2026-07-09 23:00:00+00:00
1783638300000,2485886832.0495,5205956.4157,2026-07-09 23:05:00+00:00
1783638600000,2485350752.9279,4351532.3023,2026-07-09 23:10:00+00:00
1783638900000,2484492618.4792,4967471.9039,2026-07-09 23:15:00+00:00
1783639200000,2477528346.3925,27027033.8055,2026-07-09 23:20:00+00:00
1783639500000,2476756402.1897,25343375.5178,2026-07-09 23:25:00+00:00
1783639800000,2478553396.2495,24231668.7175,2026-07-09 23:30:00+00:00
1783640100000,2479501066.6816,9432446.0068,2026-07-09 23:35:00+00:00
1783640400000,2480474545.8308,7336519.9627,2026-07-09 23:40:00+00:00
1783640700000,2485952194.8337,14008022.5078,2026-07-09 23:45:00+00:00
1783641000000,2486179152.0529,2935649.7372,2026-07-09 23:50:00+00:00
1783641300000,2486466926.4658,2918738.359,2026-07-09 23:55:00+00:00
1783641600000,2486466926.4658,5496618.1998,2026-07-10 00:00:00+00:00
1783641900000,2484655490.7705,12933356.5844,2026-07-10 00:05:00+00:00
1783642200000,2485416407.2719,4634537.3018,2026-07-10 00:10:00+00:00
1783642500000,2485374209.3197,10963820.5489,2026-07-10 00:15:00+00:00
1783642800000,2487504611.5917,7734241.2381,2026-07-10 00:20:00+00:00
1783643100000,2488333020.0315,13723454.5942,2026-07-10 00:25:00+00:00
1783643400000,2490096095.9321,14632834.4854,2026-07-10 00:30:00+00:00
1783643700000,2476733188.0835,57516697.6876,2026-07-10 00:35:00+00:00
1783644000000,2476199505.1356,23934718.0434,2026-07-10 00:40:00+00:00
1783644300000,2480253398.7084,25980650.4046,2026-07-10 00:45:00+00:00
1783644600000,2480410191.8377,6966225.6492,2026-07-10 00:50:00+00:00
1783644900000,2479931329.5475,6162130.0652,2026-07-10 00:55:00+00:00
1783645200000,2480246369.6459,9903465.7856,2026-07-10 01:00:00+00:00
1783645500000,2480576371.3827,7650703.3595,2026-07-10 01:05:00+00:00
1783645800000,2480252854.8627,5650780.8419,2026-07-10 01:10:00+00:00
1783646100000,2480949833.9736,6740173.5603,2026-07-10 01:15:00+00:00
1783646400000,2481181802.706,16420149.3185,2026-07-10 01:20:00+00:00
1783646700000,2483029911.0122,33925320.2812,2026-07-10 01:25:00+00:00
1783647000000,2489333099.7931,22722948.1034,2026-07-10 01:30:00+00:00
1783647300000,2491079457.9632,21681450.0429,2026-07-10 01:35:00+00:00
1783647600000,2488481799.7502,31642746.4667,2026-07-10 01:40:00+00:00
1783647900000,2486158712.91,14976798.1504,2026-07-10 01:45:00+00:00
1783648200000,2480190553.9792,252918317.1411,2026-07-10 01:50:00+00:00
1783648500000,2487206865.7579,105257791.7181,2026-07-10 01:55:00+00:00
1783648800000,2485910141.846,39261904.809,2026-07-10 02:00:00+00:00
1783649100000,2489280207.9787,41524655.2543,2026-07-10 02:05:00+00:00
1783649400000,2488811538.2718,21855268.388,2026-07-10 02:10:00+00:00
1783649700000,2491469064.2452,56657881.6218,2026-07-10 02:15:00+00:00
1783650000000,2493913050.1092,39678195.8557,2026-07-10 02:20:00+00:00
1783650300000,2493481643.9997,24884017.9657,2026-07-10 02:25:00+00:00
1783650600000,2496430113.9429,16156216.6431,2026-07-10 02:30:00+00:00
1783650900000,2498139011.4048,20156309.7935,2026-07-10 02:35:00+00:00
1783651200000,2500173945.9167,20019450.8229,2026-07-10 02:40:00+00:00
1783651500000,2501815649.0505,9589368.9881,2026-07-10 02:45:00+00:00
1783651800000,2501450107.2941,48364531.7401,2026-07-10 02:50:00+00:00
1783652100000,2499056193.888,60481402.0167,2026-07-10 02:55:00+00:00
1783652400000,2499309007.7158,11182636.8369,2026-07-10 03:00:00+00:00
1783652700000,2500448660.4022,15608554.8746,2026-07-10 03:05:00+00:00
1783653000000,2500907754.3686,9446965.6115,2026-07-10 03:10:00+00:00
1783653300000,2496715717.2722,21791838.6059,2026-07-10 03:15:00+00:00
1783653600000,2499150041.2035,11022148.2681,2026-07-10 03:20:00+00:00
1783653900000,2500627833.4682,7777291.2087,2026-07-10 03:25:00+00:00
1783654200000,2502735542.5645,8048149.0801,2026-07-10 03:30:00+00:00
1783654500000,2503095930.474,10669987.6012,2026-07-10 03:35:00+00:00
1783654800000,2504023290.401,8872771.4148,2026-07-10 03:40:00+00:00
1783655100000,2505901305.9762,12719086.2486,2026-07-10 03:45:00+00:00
1783655400000,2513440316.7588,38448505.4323,2026-07-10 03:50:00+00:00
1783655700000,2512935626.4662,10375231.9942,2026-07-10 03:55:00+00:00
1783656000000,2514127159.8693,7345307.7942,2026-07-10 04:00:00+00:00
1783656300000,2512482372.7906,13894964.7591,2026-07-10 04:05:00+00:00
1783656600000,2511652021.6361,11321256.9306,2026-07-10 04:10:00+00:00
1783656900000,2510757475.0052,8103784.8986,2026-07-10 04:15:00+00:00
1783657200000,2511263576.4456,9040888.1661,2026-07-10 04:20:00+00:00
1783657500000,2508771661.5446,16710583.6035,2026-07-10 04:25:00+00:00
1783657800000,2505244790.5728,14792664.3072,2026-07-10 04:30:00+00:00
1783658100000,2493728892.6314,36442384.1837,2026-07-10 04:35:00+00:00
1783658400000,2507217486.2379,75655616.1154,2026-07-10 04:40:00+00:00
1783658700000,2508588378.3637,12328549.8369,2026-07-10 04:45:00+00:00
1783659000000,2510532457.3996,30267616.291,2026-07-10 04:50:00+00:00
1783659300000,2511318711.4017,10231576.6791,2026-07-10 04:55:00+00:00
1783659600000,2511806350.8857,13135463.0782,2026-07-10 05:00:00+00:00
1783659900000,2506603534.3909,18776438.4946,2026-07-10 05:05:00+00:00
1783660200000,2506639455.5307,6558855.7075,2026-07-10 05:10:00+00:00
1783660500000,2506618198.9478,6310315.3616,2026-07-10 05:15:00+00:00
1783660800000,2505545046.5913,8117684.1104,2026-07-10 05:20:00+00:00
1783661100000,2505187937.1917,6248684.4979,2026-07-10 05:25:00+00:00
1783661400000,2504810954.3034,8169101.619,2026-07-10 05:30:00+00:00
1783661700000,2507115727.1722,28716009.4192,2026-07-10 05:35:00+00:00
1783662000000,2509601161.0443,12889212.2622,2026-07-10 05:40:00+00:00
1783662300000,2508912114.3991,25339674.3218,2026-07-10 05:45:00+00:00
1783662600000,2509075441.5107,12498680.745,2026-07-10 05:50:00+00:00
1783662900000,2511371113.4059,10918473.6669,2026-07-10 05:55:00+00:00
1783663200000,2512497493.7174,10007888.3958,2026-07-10 06:00:00+00:00
1783663500000,2511231435.9997,12975601.7439,2026-07-10 06:05:00+00:00
1783663800000,2510249893.8718,10579620.3468,2026-07-10 06:10:00+00:00
1783664100000,2510259732.5155,7395835.6724,2026-07-10 06:15:00+00:00
1783664400000,2510276485.981,9216728.3009,2026-07-10 06:20:00+00:00
1783664700000,2509328621.8342,18432964.1906,2026-07-10 06:25:00+00:00
1783665000000,2505500383.875,22836137.3699,2026-07-10 06:30:00+00:00
1783665300000,2506650092.8917,12910986.4832,2026-07-10 06:35:00+00:00
1783665600000,2507900960.4006,6752713.348,2026-07-10 06:40:00+00:00
1783665900000,2509868114.749,17267217.5674,2026-07-10 06:45:00+00:00
1783666200000,2509616131.1808,8187400.4808,2026-07-10 06:50:00+00:00
1783666500000,2510260985.464,13460332.0412,2026-07-10 06:55:00+00:00
1783666800000,2510337251.4672,12880349.2287,2026-07-10 07:00:00+00:00
1783667100000,2517476170.6455,46546424.5759,2026-07-10 07:05:00+00:00
1783667400000,2518747384.2496,9335785.3593,2026-07-10 07:10:00+00:00
1783667700000,2518978108.8851,11214175.5946,2026-07-10 07:15:00+00:00
1783668000000,2521781259.3393,14182558.5746,2026-07-10 07:20:00+00:00
1783668300000,2522391754.3293,16206152.4489,2026-07-10 07:25:00+00:00
1783668600000,2522565324.2472,9978038.2324,2026-07-10 07:30:00+00:00
1783668900000,2523713872.3782,5912560.6183,2026-07-10 07:35:00+00:00
1783669200000,2524389142.259,7336274.953,2026-07-10 07:40:00+00:00
1783669500000,2525793237.3588,6864689.0499,2026-07-10 07:45:00+00:00
1783669800000,2525711066.9548,8156747.7993,2026-07-10 07:50:00+00:00
1783670100000,2526069583.025,9717562.4161,2026-07-10 07:55:00+00:00
1783670400000,2526069583.025,11072448.8046,2026-07-10 08:00:00+00:00
1783670700000,2528602660.2734,23007495.8222,2026-07-10 08:05:00+00:00
1783671000000,2530427827.1329,7196273.357,2026-07-10 08:10:00+00:00
1783671300000,2532647330.122,11081744.3774,2026-07-10 08:15:00+00:00
1783671600000,2528498849.3328,169156232.1375,2026-07-10 08:20:00+00:00
1783671900000,2533806863.664,49000654.8257,2026-07-10 08:25:00+00:00
1783672200000,2537009208.4352,21722444.1428,2026-07-10 08:30:00+00:00
1783672500000,2539230779.3189,14247905.4727,2026-07-10 08:35:00+00:00
1783672800000,2538704390.5194,40108413.8931,2026-07-10 08:40:00+00:00
1783673100000,2539035331.7225,11271982.6254,2026-07-10 08:45:00+00:00
1783673400000,2537505925.9329,19752980.3416,2026-07-10 08:50:00+00:00
1783673700000,2542244626.6742,21859936.5769,2026-07-10 08:55:00+00:00
1783674000000,2544511929.1923,13945635.1389,2026-07-10 09:00:00+00:00
1783674300000,2542327043.2752,22071385.6591,2026-07-10 09:05:00+00:00
1783674600000,2543511434.2749,8722485.6805,2026-07-10 09:10:00+00:00
1783674900000,2544049952.603,18827958.3466,2026-07-10 09:15:00+00:00
1783675200000,2549142920.2482,24362099.0572,2026-07-10 09:20:00+00:00
1783675500000,2550997697.2974,18924173.7159,2026-07-10 09:25:00+00:00
1783675800000,2549919098.3857,39505142.1275,2026-07-10 09:30:00+00:00
1783676100000,2554566637.6959,58168461.2646,2026-07-10 09:35:00+00:00
1783676400000,2558811705.6795,28068991.0161,2026-07-10 09:40:00+00:00
1783676700000,2561739620.9619,19556783.1098,2026-07-10 09:45:00+00:00
1783677000000,2561938958.9535,20912758.9413,2026-07-10 09:50:00+00:00
1783677300000,2563107993.2658,9748695.0842,2026-07-10 09:55:00+00:00
1783677600000,2562545900.9537,7898669.3557,2026-07-10 10:00:00+00:00
1783677900000,2562788185.8493,16870747.4056,2026-07-10 10:05:00+00:00
1783678200000,2562103060.239,8953364.7884,2026-07-10 10:10:00+00:00
1783678500000,2562064119.5599,12100402.8408,2026-07-10 10:15:00+00:00
1783678800000,2567373733.6584,13623016.3692,2026-07-10 10:20:00+00:00
1783679100000,2565266941.2298,20091114.3523,2026-07-10 10:25:00+00:00
1783679400000,2567299696.9971,14895512.6008,2026-07-10 10:30:00+00:00
1783679700000,2569502209.0992,24504278.251,2026-07-10 10:35:00+00:00
1783680000000,2572519403.6417,15179605.7812,2026-07-10 10:40:00+00:00
1783680300000,2570540252.6226,11749156.5393,2026-07-10 10:45:00+00:00
