ts,best_bid,best_ask,mid,spread_pct,bid_usd,ask_usd,imbalance,microprice,bids_json,asks_json
1783785313458,78.28,78.29,78.285,0.012773839177371293,2206812.3927,1779572.7091,0.10717471410554028,78.28464278799028,"[[78.28, 1534.59], [78.27, 3204.77], [78.26, 2156.64], [78.25, 3993.32], [78.24, 4074.05], [78.23, 2593.84], [78.22, 3505.78], [78.21, 2242.71], [78.2, 2464.34], [78.19, 2437.47]]","[[78.29, 1770.73], [78.3, 2240.77], [78.31, 2260.58], [78.32, 2357.38], [78.33, 1751.28], [78.34, 2646.5], [78.35, 2720.64], [78.36, 2514.92], [78.37, 2053.1], [78.38, 2401.08]]"
1783785316258,78.28,78.29,78.285,0.012773839177371293,2186504.9047,1776993.7492,0.1033206243420947,78.2842987259797,"[[78.28, 1298.37], [78.27, 3184.0], [78.26, 2169.41], [78.25, 3987.23], [78.24, 4067.67], [78.23, 2602.14], [78.22, 3497.48], [78.21, 2242.71], [78.2, 2461.6], [78.19, 2437.47]]","[[78.29, 1721.99], [78.3, 2246.31], [78.31, 2252.16], [78.32, 2363.51], [78.33, 1764.05], [78.34, 2633.73], [78.35, 2733.18], [78.36, 2514.92], [78.37, 2053.1], [78.38, 2401.08]]"
1783785319008,78.28,78.29,78.285,0.012773839177371293,2153688.5506,1733045.4579999999,0.1082253356337898,78.2854064405893,"[[78.28, 1322.61], [78.27, 3062.21], [78.26, 2025.64], [78.25, 3786.25], [78.24, 4230.88], [78.23, 2586.94], [78.22, 3497.48], [78.21, 2215.12], [78.2, 2461.34], [78.19, 2340.2]]","[[78.29, 1123.75], [78.3, 2251.99], [78.31, 2268.96], [78.32, 2344.89], [78.33, 1773.76], [78.34, 2707.43], [78.35, 2147.14], [78.36, 2295.53], [78.37, 2169.43], [78.38, 3039.54]]"
1783785321758,78.28,78.29,78.285,0.012773839177371293,2169016.4513,1727137.1512,0.11341424008962693,78.28565935749472,"[[78.28, 1440.68], [78.27, 3233.84], [78.26, 2125.64], [78.25, 3823.38], [78.24, 4222.16], [78.23, 2474.55], [78.22, 3387.27], [78.21, 2215.12], [78.2, 2460.26], [78.19, 2341.48]]","[[78.29, 1104.98], [78.3, 2251.99], [78.31, 2268.89], [78.32, 2288.28], [78.33, 1774.01], [78.34, 2707.43], [78.35, 2109.05], [78.36, 2333.37], [78.37, 2169.43], [78.38, 3039.54]]"
1783785324508,78.28,78.29,78.285,0.012773839177371293,2189286.1500999997,1662363.9934999999,0.13680426231742443,78.2867047820237,"[[78.28, 1529.81], [78.27, 3355.74], [78.26, 2029.74], [78.25, 3813.05], [78.24, 4247.74], [78.23, 2506.84], [78.22, 3387.27], [78.21, 2215.12], [78.2, 2460.66], [78.19, 2437.48]]","[[78.29, 751.86], [78.3, 2157.13], [78.31, 1731.56], [78.32, 2170.47], [78.33, 1830.91], [78.34, 2527.37], [78.35, 2271.9], [78.36, 2369.12], [78.37, 2369.68], [78.38, 3039.54]]"
1783785327208,78.29,78.3,78.295,0.012772207676085197,2316238.8334,1710905.4002,0.1503133233097221,78.29828575033069,"[[78.29, 4334.74], [78.28, 2986.56], [78.27, 3046.41], [78.26, 2047.73], [78.25, 3909.86], [78.24, 3168.47], [78.23, 2541.01], [78.22, 3299.51], [78.21, 1883.72], [78.2, 2382.89]]","[[78.3, 896.82], [78.31, 2417.05], [78.32, 2203.72], [78.33, 1856.96], [78.34, 2519.51], [78.35, 2268.32], [78.36, 2091.55], [78.37, 2338.94], [78.38, 2790.48], [78.39, 2453.61]]"
1783785333058,78.31,78.32,78.315,0.012768945923502402,2641120.3452,1537046.535,0.2642483753897236,78.31871097813891,"[[78.31, 3843.24], [78.3, 4451.78], [78.29, 3842.18], [78.28, 3491.52], [78.27, 3217.59], [78.26, 2435.42], [78.25, 3815.95], [78.24, 2950.99], [78.23, 2266.92], [78.22, 3428.79]]","[[78.32, 568.71], [78.33, 1109.21], [78.34, 2363.36], [78.35, 1727.17], [78.36, 2761.47], [78.37, 2109.83], [78.38, 2606.21], [78.39, 2470.59], [78.4, 1524.37], [78.41, 2371.64]]"
1783785336208,78.31,78.32,78.315,0.012768945923502402,2547196.2827,1671807.1983999999,0.20748716805319256,78.31607262153159,"[[78.31, 2654.27], [78.3, 4355.92], [78.29, 3937.31], [78.28, 3497.33], [78.27, 3199.64], [78.26, 2431.52], [78.25, 3822.34], [78.24, 2948.15], [78.23, 2269.73], [78.22, 3428.79]]","[[78.32, 1716.61], [78.33, 2477.02], [78.34, 1637.72], [78.35, 1727.15], [78.36, 2780.63], [78.37, 2110.5], [78.38, 2664.08], [78.39, 2483.17], [78.4, 1524.37], [78.41, 2212.08]]"
1783785338958,78.33,78.34,78.33500000000001,0.012765685836478094,2548604.4612,1752625.9573000001,0.18505832667704122,78.33533111443006,"[[78.33, 1827.57], [78.32, 3668.58], [78.31, 4835.92], [78.3, 4159.28], [78.29, 3736.65], [78.28, 3217.36], [78.27, 2448.09], [78.26, 2655.88], [78.25, 3269.51], [78.24, 2735.91]]","[[78.34, 1600.55], [78.35, 2459.57], [78.36, 2122.67], [78.37, 1787.8], [78.38, 2354.93], [78.39, 2781.82], [78.4, 1711.93], [78.41, 2190.86], [78.42, 2876.47], [78.43, 2471.88]]"
1783785341758,78.32,78.33,78.32499999999999,0.01276731567188652,2313503.9381999997,1937406.0193,0.08847468486986877,78.32379364177955,"[[78.32, 1783.63], [78.31, 3605.22], [78.3, 4213.15], [78.29, 3467.79], [78.28, 3345.56], [78.27, 2436.43], [78.26, 2783.95], [78.25, 3369.51], [78.24, 2759.0], [78.23, 1791.03]]","[[78.33, 2918.0], [78.34, 3515.95], [78.35, 2164.08], [78.36, 1913.48], [78.37, 1819.96], [78.38, 2638.27], [78.39, 2791.0], [78.4, 2110.45], [78.41, 2175.91], [78.42, 2673.13]]"
