ts,open,high,low,close,volume,datetime_utc
1752664200000,3147.94,3150.8,3147.93,3149.17,46748.52,2025-07-16 11:10:00+00:00
1752664500000,3149.17,3149.28,3144.41,3147.23,54220.66,2025-07-16 11:15:00+00:00
1752664800000,3147.22,3150.55,3146.42,3149.54,43242.63,2025-07-16 11:20:00+00:00
1752665100000,3149.55,3157.95,3149.52,3156.39,144432.98,2025-07-16 11:25:00+00:00
1752665400000,3156.39,3158.86,3153.39,3155.4,105124.43,2025-07-16 11:30:00+00:00
1752665700000,3155.39,3156.0,3154.01,3154.13,29708.32,2025-07-16 11:35:00+00:00
1752666000000,3154.13,3154.77,3151.5,3154.68,47445.22,2025-07-16 11:40:00+00:00
1752666300000,3154.69,3158.48,3152.72,3156.22,72131.77,2025-07-16 11:45:00+00:00
1752666600000,3156.23,3156.8,3150.83,3150.83,35029.54,2025-07-16 11:50:00+00:00
1752666900000,3150.82,3150.9,3147.05,3150.78,77343.36,2025-07-16 11:55:00+00:00
1752667200000,3150.77,3154.98,3147.62,3154.46,55373.56,2025-07-16 12:00:00+00:00
1752667500000,3154.46,3157.55,3154.39,3156.51,79887.79,2025-07-16 12:05:00+00:00
1752667800000,3156.52,3156.64,3152.26,3152.26,56230.21,2025-07-16 12:10:00+00:00
1752668100000,3152.27,3156.37,3152.15,3152.16,38596.66,2025-07-16 12:15:00+00:00
1752668400000,3152.15,3156.0,3151.56,3155.05,32471.48,2025-07-16 12:20:00+00:00
1752668700000,3155.02,3163.99,3153.5,3163.04,129536.21,2025-07-16 12:25:00+00:00
1752669000000,3163.04,3172.1,3154.0,3166.08,492300.83,2025-07-16 12:30:00+00:00
1752669300000,3166.08,3170.91,3163.33,3170.91,133585.63,2025-07-16 12:35:00+00:00
1752669600000,3170.9,3174.68,3167.59,3172.9,245489.66,2025-07-16 12:40:00+00:00
1752669900000,3172.91,3182.06,3166.6,3167.39,453725.77,2025-07-16 12:45:00+00:00
1752670200000,3167.38,3170.7,3165.1,3165.75,136738.7,2025-07-16 12:50:00+00:00
1752670500000,3165.75,3169.98,3163.61,3164.66,108766.6,2025-07-16 12:55:00+00:00
1752670800000,3164.66,3166.81,3158.81,3166.81,181863.86,2025-07-16 13:00:00+00:00
1752671100000,3166.82,3184.99,3161.93,3180.37,424800.72,2025-07-16 13:05:00+00:00
1752671400000,3180.38,3189.99,3178.73,3179.88,551227.5,2025-07-16 13:10:00+00:00
1752671700000,3179.88,3180.6,3173.47,3177.55,272144.89,2025-07-16 13:15:00+00:00
1752672000000,3177.55,3179.6,3170.1,3172.82,138752.79,2025-07-16 13:20:00+00:00
1752672300000,3172.82,3176.9,3169.12,3172.04,86557.93,2025-07-16 13:25:00+00:00
1752672600000,3172.04,3180.0,3166.04,3178.63,179008.89,2025-07-16 13:30:00+00:00
1752672900000,3178.62,3185.0,3174.95,3183.03,265606.59,2025-07-16 13:35:00+00:00
1752673200000,3183.04,3183.39,3169.1,3174.12,291009.22,2025-07-16 13:40:00+00:00
1752673500000,3174.11,3195.87,3170.94,3182.8,518594.96,2025-07-16 13:45:00+00:00
1752673800000,3182.8,3192.0,3176.82,3186.94,228014.05,2025-07-16 13:50:00+00:00
1752674100000,3186.94,3199.0,3185.6,3195.44,498161.63,2025-07-16 13:55:00+00:00
1752674400000,3195.44,3205.77,3190.59,3200.05,433770.51,2025-07-16 14:00:00+00:00
1752674700000,3200.05,3205.69,3186.6,3194.72,518704.0,2025-07-16 14:05:00+00:00
1752675000000,3194.71,3196.33,3179.58,3180.01,382081.11,2025-07-16 14:10:00+00:00
1752675300000,3180.01,3190.66,3179.21,3189.49,245077.55,2025-07-16 14:15:00+00:00
1752675600000,3189.5,3195.23,3188.01,3194.8,170304.53,2025-07-16 14:20:00+00:00
1752675900000,3194.8,3199.6,3190.05,3196.11,228824.02,2025-07-16 14:25:00+00:00
1752676200000,3196.11,3245.0,3194.11,3237.9,2508172.99,2025-07-16 14:30:00+00:00
1752676500000,3237.9,3238.86,3225.0,3233.75,660697.88,2025-07-16 14:35:00+00:00
1752676800000,3233.76,3236.65,3226.2,3234.98,236620.86,2025-07-16 14:40:00+00:00
1752677100000,3234.98,3267.98,3233.4,3265.01,1183662.52,2025-07-16 14:45:00+00:00
1752677400000,3265.0,3265.0,3242.61,3249.47,799063.06,2025-07-16 14:50:00+00:00
1752677700000,3249.46,3262.79,3246.04,3251.59,541985.35,2025-07-16 14:55:00+00:00
1752678000000,3251.58,3262.0,3250.56,3257.4,321133.97,2025-07-16 15:00:00+00:00
1752678300000,3257.39,3262.57,3252.49,3252.89,324500.31,2025-07-16 15:05:00+00:00
1752678600000,3252.89,3255.5,3240.08,3244.27,475626.97,2025-07-16 15:10:00+00:00
1752678900000,3244.27,3244.37,3224.53,3228.64,754106.79,2025-07-16 15:15:00+00:00
1752679200000,3228.65,3231.93,3218.55,3227.5,507735.76,2025-07-16 15:20:00+00:00
1752679500000,3227.5,3251.69,3226.5,3246.72,558969.93,2025-07-16 15:25:00+00:00
1752679800000,3246.72,3247.37,3227.79,3231.36,451662.81,2025-07-16 15:30:00+00:00
1752680100000,3231.36,3232.25,3207.0,3219.59,762872.35,2025-07-16 15:35:00+00:00
1752680400000,3219.58,3232.0,3218.25,3231.99,317820.11,2025-07-16 15:40:00+00:00
1752680700000,3231.99,3238.8,3231.04,3237.44,199109.24,2025-07-16 15:45:00+00:00
1752681000000,3237.45,3239.58,3224.34,3233.68,189328.2,2025-07-16 15:50:00+00:00
1752681300000,3233.69,3247.99,3232.28,3244.12,464774.4,2025-07-16 15:55:00+00:00
1752681600000,3244.12,3246.35,3234.46,3235.42,231419.57,2025-07-16 16:00:00+00:00
1752681900000,3235.5,3245.79,3234.78,3240.8,157716.55,2025-07-16 16:05:00+00:00
1752682200000,3240.79,3247.0,3237.01,3246.3,182010.08,2025-07-16 16:10:00+00:00
1752682500000,3246.31,3249.95,3240.55,3245.6,164188.63,2025-07-16 16:15:00+00:00
1752682800000,3245.6,3249.6,3244.0,3249.43,112608.81,2025-07-16 16:20:00+00:00
1752683100000,3249.43,3275.7,3245.54,3264.24,661184.04,2025-07-16 16:25:00+00:00
1752683400000,3264.11,3273.6,3258.72,3259.39,412320.08,2025-07-16 16:30:00+00:00
1752683700000,3259.39,3288.0,3255.2,3280.36,631446.24,2025-07-16 16:35:00+00:00
1752684000000,3280.36,3283.22,3274.02,3276.58,362596.64,2025-07-16 16:40:00+00:00
1752684300000,3276.58,3284.7,3270.0,3272.7,353075.38,2025-07-16 16:45:00+00:00
1752684600000,3272.7,3286.66,3271.0,3279.2,281948.7,2025-07-16 16:50:00+00:00
